Date,Open,High,Low,Close,Log_Close,Log_Close_diff
2005-07-01,13.0,14.0,11.25,12.46,2.522523513359307,
2005-08-01,12.58,14.88,12.55,13.42,2.5967461315435356,0.07422261818422848
2005-09-01,13.48,14.87,12.27,13.3,2.5877640352277083,-0.00898209631582736
2005-10-01,13.2,14.47,12.4,12.99,2.5641798306825083,-0.023584204545199938
2005-11-01,13.35,13.88,12.88,13.41,2.596000697293587,0.031820866611078635
2005-12-01,13.49,14.44,13.0,13.71,2.6181254935742233,0.02212479628063635
2006-01-01,13.68,17.16,13.58,15.33,2.7298116928837226,0.1116861993094993
2006-02-01,15.5,16.97,15.4,16.12,2.7800607370784824,0.05024904419475984
2006-03-01,16.2,20.95,16.02,20.08,2.9997242948235283,0.21966355774504587
2006-04-01,20.56,20.8,18.02,19.49,2.9699015135194693,-0.02982278130405902
2006-05-01,19.8,21.8,15.8,18.03,2.8920370372152258,-0.07786447630424354
2006-06-01,18.2,18.4,13.4,15.62,2.7485521444115397,-0.14348489280368604
2006-07-01,16.0,17.2,13.82,16.16,2.7825390530929495,0.033986908681409744
2006-08-01,15.9,18.6,15.7,17.84,2.8814431271518632,0.09890407405891377
2006-09-01,18.0,18.88,16.8,18.46,2.9156062290747062,0.034163101922843
2006-10-01,18.78,24.2,18.5,22.78,3.125882958019036,0.2102767289443297
2006-11-01,22.8,28.47,21.4,25.32,3.2315945972759756,0.10571163925693972
2006-12-01,25.4,29.66,24.4,26.97,3.2947251371516386,0.06313053987566297
2007-01-01,27.4,34.16,27.0,30.16,3.4065165431397553,0.11179140598811665
2007-02-01,30.2,32.6,26.8,28.63,3.354455119110024,-0.05206142402973146
2007-03-01,29.3,31.58,23.31,28.14,3.337192051686243,-0.017263067423780587
2007-04-01,27.0,31.99,26.2,30.31,3.4114776910697118,0.07428563938346855
2007-05-01,30.66,36.14,29.11,33.51,3.511843901749219,0.10036621067950735
2007-06-01,33.89,36.38,30.4,35.98,3.582963228522387,0.07111932677316801
2007-07-01,35.98,41.04,35.02,37.93,3.6357423557008075,0.05277912717842037
2007-08-01,37.5,39.0,30.2,36.99,3.610647605844363,-0.025094749856444665
2007-09-01,37.4,41.75,35.3,41.36,3.7223142302001735,0.11166662435581065
2007-10-01,41.8,47.3,33.6,43.48,3.7723010622530087,0.04998683205283516
2007-11-01,44.4,50.98,40.02,46.18,3.8325468039263493,0.060245741673340625
2007-12-01,46.4,54.0,45.0,49.81,3.908215767085192,0.07566896315884275
2008-01-01,49.99,55.56,30.24,50.54,3.922765101960048,0.01454933487485599
2008-02-01,50.88,53.97,44.4,49.42,3.900355200560464,-0.022409901399583987
2008-03-01,48.9,48.9,24.11,33.75,3.518980417318539,-0.3813747832419252
2008-04-01,33.9,35.8,28.51,34.06,3.5281236752345424,0.009143257916003567
2008-05-01,34.3,36.88,30.03,31.13,3.4381719844535166,-0.08995169078102583
2008-06-01,31.22,32.22,22.62,22.85,3.128951117340214,-0.30922086711330277
2008-07-01,22.85,30.5,20.4,25.45,3.2367157429965316,0.10776462565631784
2008-08-01,25.0,28.98,24.62,26.83,3.2895206644375325,0.05280492144100091
2008-09-01,26.68,29.8,21.7,24.13,3.1834558796369405,-0.106064784800592
2008-10-01,24.6,25.0,11.01,13.58,2.60859812213055,-0.5748577575063907
2008-11-01,14.79,17.8,11.25,12.26,2.506341930508065,-0.10225619162248467
2008-12-01,12.4,16.56,11.13,15.03,2.710048203764883,0.203706273256818
2009-01-01,15.28,18.34,11.48,12.24,2.50470927708418,-0.20533892668070308
2009-02-01,12.19,12.5,9.9,10.26,2.3282528397426234,-0.1764564373415567
2009-03-01,10.0,11.24,8.16,9.98,2.300583090323373,-0.0276697494192506
2009-04-01,10.04,17.51,9.94,15.45,2.7376090033437546,0.43702591302038174
2009-05-01,15.94,28.84,14.76,25.12,3.223664341599998,0.48605533825624336
2009-06-01,25.6,31.08,23.0,29.68,3.39047341829918,0.16680907669918188
2009-07-01,29.7,33.16,24.83,31.93,3.4635460067266908,0.07307258842751096
2009-08-01,31.98,35.18,29.0,33.45,3.5100517865742376,0.04650577984754678
2009-09-01,33.8,41.3,32.0,40.99,3.7133281345162463,0.20327634794200877
2009-10-01,41.2,52.34,36.8,47.31,3.8567216896430567,0.1433935551268104
2009-11-01,46.58,54.98,42.84,50.57,3.9233585150918917,0.06663682544883498
2009-12-01,50.98,55.67,48.6,53.41,3.977997994351679,0.054639479259787294
2010-01-01,53.6,57.58,46.42,49.84,3.908817874479198,-0.06918011987248107
2010-02-01,49.0,51.48,44.6,47.32,3.856933039110186,-0.051884835369012006
2010-03-01,47.8,52.06,47.3,50.97,3.93123722435195,0.0743041852417643
2010-04-01,50.67,59.48,48.8,57.1,4.044804116661965,0.11356689231001438
2010-05-01,56.94,58.08,50.66,57.57,4.053001598687718,0.008197482025753544
2010-06-01,56.7,59.9,52.6,53.83,3.985830932572866,-0.06717066611485212
2010-07-01,53.55,60.94,53.02,58.99,4.077367938014984,0.09153700544211762
2010-08-01,59.4,68.88,59.01,62.22,4.130676491469491,0.05330855345450747
